Date,Value
"1 Feb, 2018",30
"2 Feb, 2018",15
"3 Feb, 2018",40
"4 Feb, 2018",24
"5 Feb, 2018",11
"6 Feb, 2018",8
"7 Feb, 2018",36
"8 Feb, 2018",30
"9 Feb, 2018",44
"10 Feb, 2018",54
"11 Feb, 2018",31
"12 Feb, 2018",42
"13 Feb, 2018",35
"14 Feb, 2018",55
"15 Feb, 2018",71
"16 Feb, 2018",67
"17 Feb, 2018",74
"18 Feb, 2018",63
"19 Feb, 2018",67
"20 Feb, 2018",74
"21 Feb, 2018",54
"22 Feb, 2018",44
"23 Feb, 2018",39
"24 Feb, 2018",31
"25 Feb, 2018",33
"26 Feb, 2018",37
"27 Feb, 2018",44
"28 Feb, 2018",41
"1 Mar, 2018",38
"2 Mar, 2018",47
"3 Mar, 2018",56
"4 Mar, 2018",44
"5 Mar, 2018",55
"6 Mar, 2018",59
"7 Mar, 2018",37
"8 Mar, 2018",39
"9 Mar, 2018",37
"10 Mar, 2018",39
"11 Mar, 2018",40
"12 Mar, 2018",41
"13 Mar, 2018",41
"14 Mar, 2018",40
"15 Mar, 2018",32
"16 Mar, 2018",33
"17 Mar, 2018",31
"18 Mar, 2018",29
"19 Mar, 2018",29
"20 Mar, 2018",37
"21 Mar, 2018",36
"22 Mar, 2018",36
"23 Mar, 2018",28
"24 Mar, 2018",32
"25 Mar, 2018",30
"26 Mar, 2018",31
"27 Mar, 2018",24
"28 Mar, 2018",24
"29 Mar, 2018",18
"30 Mar, 2018",12
"31 Mar, 2018",16
"1 Apr, 2018",16
"2 Apr, 2018",11
"3 Apr, 2018",22
"4 Apr, 2018",22
"5 Apr, 2018",17
"6 Apr, 2018",19
"7 Apr, 2018",20
"8 Apr, 2018",17
"9 Apr, 2018",21
"10 Apr, 2018",18
"11 Apr, 2018",20
"12 Apr, 2018",18
"13 Apr, 2018",23
"17 Apr, 2018",26
"18 Apr, 2018",24
"19 Apr, 2018",25
"20 Apr, 2018",26
"21 Apr, 2018",32
"22 Apr, 2018",31
"23 Apr, 2018",28
"24 Apr, 2018",29
"25 Apr, 2018",64
"26 Apr, 2018",47
"27 Apr, 2018",55
"28 Apr, 2018",54
"29 Apr, 2018",61
"30 Apr, 2018",59
"1 May, 2018",56
"2 May, 2018",52
"3 May, 2018",55
"4 May, 2018",56
"5 May, 2018",63
"6 May, 2018",67
"7 May, 2018",56
"8 May, 2018",62
"9 May, 2018",53
"10 May, 2018",63
"11 May, 2018",41
"12 May, 2018",44
"13 May, 2018",40
"14 May, 2018",40
"15 May, 2018",40
"16 May, 2018",32
"17 May, 2018",31
"18 May, 2018",37
"19 May, 2018",31
"20 May, 2018",32
"21 May, 2018",41
"22 May, 2018",30
"23 May, 2018",26
"24 May, 2018",27
"25 May, 2018",25
"26 May, 2018",23
"27 May, 2018",19
"28 May, 2018",22
"29 May, 2018",16
"30 May, 2018",38
"31 May, 2018",25
"1 Jun, 2018",24
"2 Jun, 2018",27
"3 Jun, 2018",40
"4 Jun, 2018",41
"5 Jun, 2018",26
"6 Jun, 2018",42
"7 Jun, 2018",38
"8 Jun, 2018",40
"9 Jun, 2018",39
"10 Jun, 2018",24
"11 Jun, 2018",15
"12 Jun, 2018",19
"13 Jun, 2018",19
"14 Jun, 2018",17
"15 Jun, 2018",26
"16 Jun, 2018",22
"17 Jun, 2018",23
"18 Jun, 2018",27
"19 Jun, 2018",32
"20 Jun, 2018",34
"21 Jun, 2018",37
"22 Jun, 2018",28
"23 Jun, 2018",17
"24 Jun, 2018",15
"25 Jun, 2018",16
"26 Jun, 2018",21
"27 Jun, 2018",18
"28 Jun, 2018",20
"29 Jun, 2018",16
"30 Jun, 2018",22
"1 Jul, 2018",27
"2 Jul, 2018",27
"3 Jul, 2018",31
"4 Jul, 2018",33
"5 Jul, 2018",37
"6 Jul, 2018",34
"7 Jul, 2018",34
"8 Jul, 2018",38
"9 Jul, 2018",39
"10 Jul, 2018",37
"11 Jul, 2018",29
"12 Jul, 2018",33
"13 Jul, 2018",29
"14 Jul, 2018",29
"15 Jul, 2018",32
"16 Jul, 2018",36
"17 Jul, 2018",39
"18 Jul, 2018",42
"19 Jul, 2018",44
"20 Jul, 2018",47
"21 Jul, 2018",43
"22 Jul, 2018",46
"23 Jul, 2018",44
"24 Jul, 2018",49
"25 Jul, 2018",54
"26 Jul, 2018",53
"27 Jul, 2018",47
"28 Jul, 2018",54
"29 Jul, 2018",54
"30 Jul, 2018",53
"31 Jul, 2018",48
"1 Aug, 2018",39
"2 Aug, 2018",39
"3 Aug, 2018",36
"4 Aug, 2018",31
"5 Aug, 2018",23
"6 Aug, 2018",25
"7 Aug, 2018",25
"8 Aug, 2018",23
"9 Aug, 2018",19
"10 Aug, 2018",21
"11 Aug, 2018",18
"12 Aug, 2018",18
"13 Aug, 2018",21
"14 Aug, 2018",16
"15 Aug, 2018",18
"16 Aug, 2018",21
"17 Aug, 2018",19
"18 Aug, 2018",24
"19 Aug, 2018",27
"20 Aug, 2018",26
"21 Aug, 2018",19
"22 Aug, 2018",21
"23 Aug, 2018",18
"24 Aug, 2018",19
"25 Aug, 2018",22
"26 Aug, 2018",19
"27 Aug, 2018",18
"28 Aug, 2018",19
"29 Aug, 2018",19
"30 Aug, 2018",22
"31 Aug, 2018",17
"1 Sep, 2018",21
"2 Sep, 2018",18
"3 Sep, 2018",19
"4 Sep, 2018",26
"5 Sep, 2018",17
"6 Sep, 2018",14
"7 Sep, 2018",17
"8 Sep, 2018",18
"9 Sep, 2018",13
"10 Sep, 2018",15
"11 Sep, 2018",18
"12 Sep, 2018",14
"13 Sep, 2018",20
"14 Sep, 2018",23
"15 Sep, 2018",24
"16 Sep, 2018",28
"17 Sep, 2018",25
"18 Sep, 2018",21
"19 Sep, 2018",24
"20 Sep, 2018",24
"21 Sep, 2018",31
"22 Sep, 2018",35
"23 Sep, 2018",38
"24 Sep, 2018",43
"25 Sep, 2018",37
"26 Sep, 2018",37
"27 Sep, 2018",42
"28 Sep, 2018",42
"29 Sep, 2018",37
"30 Sep, 2018",34
"1 Oct, 2018",35
"2 Oct, 2018",33
"3 Oct, 2018",36
"4 Oct, 2018",29
"5 Oct, 2018",37
"6 Oct, 2018",34
"7 Oct, 2018",29
"8 Oct, 2018",26
"9 Oct, 2018",31
"10 Oct, 2018",28
"11 Oct, 2018",19
"12 Oct, 2018",13
"13 Oct, 2018",15
"14 Oct, 2018",18
"15 Oct, 2018",20
"16 Oct, 2018",24
"17 Oct, 2018",23
"18 Oct, 2018",26
"19 Oct, 2018",24
"20 Oct, 2018",21
"21 Oct, 2018",21
"22 Oct, 2018",27
"23 Oct, 2018",24
"24 Oct, 2018",23
"25 Oct, 2018",25
"26 Oct, 2018",29
"27 Oct, 2018",33
"28 Oct, 2018",35
"29 Oct, 2018",34
"30 Oct, 2018",31
"31 Oct, 2018",32
"1 Nov, 2018",29
"2 Nov, 2018",36
"3 Nov, 2018",36
"4 Nov, 2018",41
"5 Nov, 2018",42
"6 Nov, 2018",42
"7 Nov, 2018",48
"8 Nov, 2018",51
"9 Nov, 2018",47
"10 Nov, 2018",52
"11 Nov, 2018",54
"12 Nov, 2018",52
"13 Nov, 2018",56
"14 Nov, 2018",49
"15 Nov, 2018",28
"16 Nov, 2018",23
"17 Nov, 2018",24
"18 Nov, 2018",26
"19 Nov, 2018",28
"20 Nov, 2018",21
"21 Nov, 2018",15
"22 Nov, 2018",14
"23 Nov, 2018",12
"24 Nov, 2018",15
"25 Nov, 2018",9
"26 Nov, 2018",17
"27 Nov, 2018",11
"28 Nov, 2018",14
"29 Nov, 2018",18
"30 Nov, 2018",19
"1 Dec, 2018",13
"2 Dec, 2018",15
"3 Dec, 2018",17
"4 Dec, 2018",12
"5 Dec, 2018",19
"6 Dec, 2018",13
"7 Dec, 2018",11
"8 Dec, 2018",11
"9 Dec, 2018",14
"10 Dec, 2018",19
"11 Dec, 2018",15
"12 Dec, 2018",14
"13 Dec, 2018",14
"14 Dec, 2018",10
"15 Dec, 2018",11
"16 Dec, 2018",13
"17 Dec, 2018",17
"18 Dec, 2018",23
"19 Dec, 2018",21
"20 Dec, 2018",27
"21 Dec, 2018",35
"22 Dec, 2018",28
"23 Dec, 2018",31
"24 Dec, 2018",25
"25 Dec, 2018",33
"26 Dec, 2018",26
"27 Dec, 2018",29
"28 Dec, 2018",21
"29 Dec, 2018",24
"30 Dec, 2018",23
"31 Dec, 2018",26
"1 Jan, 2019",24
"2 Jan, 2019",30
"3 Jan, 2019",33
