Date,Price,Fear_Greed
"1 Feb, 2018","9,181.1",30
"2 Feb, 2018","8,893.2",15
"3 Feb, 2018","9,241.1",40
"4 Feb, 2018","8,222.2",24
"5 Feb, 2018","6,938.5",11
"6 Feb, 2018","7,701.2",8
"7 Feb, 2018","7,594.7",36
"8 Feb, 2018","8,164.2",30
"9 Feb, 2018","8,699.8",44
"10 Feb, 2018","8,559.6",54
"11 Feb, 2018","8,081.9",31
"12 Feb, 2018","8,903.5",42
"13 Feb, 2018","8,539.2",35
"14 Feb, 2018","9,476.3",55
"15 Feb, 2018","10,037.3",71
"16 Feb, 2018","10,178.7",67
"17 Feb, 2018","11,073.5",74
"18 Feb, 2018","10,398.8",63
"19 Feb, 2018","11,169.4",67
"20 Feb, 2018","11,238.7",74
"21 Feb, 2018","10,473.0",54
"22 Feb, 2018","9,841.7",44
"23 Feb, 2018","10,170.4",39
"24 Feb, 2018","9,704.3",31
"25 Feb, 2018","9,585.2",33
"26 Feb, 2018","10,285.1",37
"27 Feb, 2018","10,594.4",44
"28 Feb, 2018","10,333.9",41
"1 Mar, 2018","10,904.5",38
"2 Mar, 2018","10,827.7",47
"3 Mar, 2018","11,402.3",56
"4 Mar, 2018","11,416.5",44
"5 Mar, 2018","11,330.6",55
"6 Mar, 2018","10,675.1",59
"7 Mar, 2018","9,902.9",37
"8 Mar, 2018","9,300.0",39
"9 Mar, 2018","9,217.0",37
"10 Mar, 2018","8,762.0",39
"11 Mar, 2018","9,529.6",40
"12 Mar, 2018","9,137.4",41
"13 Mar, 2018","9,154.9",41
"14 Mar, 2018","8,210.6",40
"15 Mar, 2018","8,264.4",32
"16 Mar, 2018","8,289.2",33
"17 Mar, 2018","7,874.9",31
"18 Mar, 2018","8,201.2",29
"19 Mar, 2018","8,616.8",29
"20 Mar, 2018","8,912.6",37
"21 Mar, 2018","8,905.9",36
"22 Mar, 2018","8,726.2",36
"23 Mar, 2018","8,916.8",28
"24 Mar, 2018","8,547.4",32
"25 Mar, 2018","8,473.2",30
"26 Mar, 2018","8,143.5",31
"27 Mar, 2018","7,801.7",24
"28 Mar, 2018","7,954.9",24
"29 Mar, 2018","7,129.2",18
"30 Mar, 2018","6,853.7",12
"31 Mar, 2018","6,938.2",16
"1 Apr, 2018","6,825.2",16
"2 Apr, 2018","7,068.4",11
"3 Apr, 2018","7,424.2",22
"4 Apr, 2018","6,808.9",22
"5 Apr, 2018","6,782.0",17
"6 Apr, 2018","6,624.3",19
"7 Apr, 2018","6,905.7",20
"8 Apr, 2018","7,030.5",17
"9 Apr, 2018","6,781.9",21
"10 Apr, 2018","6,854.8",18
"11 Apr, 2018","6,962.1",20
"12 Apr, 2018","7,926.6",18
"13 Apr, 2018","7,887.4",23
"17 Apr, 2018","7,908.6",26
"18 Apr, 2018","8,178.4",24
"19 Apr, 2018","8,290.8",25
"20 Apr, 2018","8,867.0",26
"21 Apr, 2018","8,923.1",32
"22 Apr, 2018","8,806.7",31
"23 Apr, 2018","8,952.8",28
"24 Apr, 2018","9,645.3",29
"25 Apr, 2018","8,873.1",64
"26 Apr, 2018","9,287.0",47
"27 Apr, 2018","8,940.9",55
"28 Apr, 2018","9,352.4",54
"29 Apr, 2018","9,415.1",61
"30 Apr, 2018","9,245.1",59
